TARGET	PFAM	LOCUS	E-VAL	SCORE	BIAS	DESCRIPTION
DDE_Tnp_IS240	PF13610.6	SAGEDEP_132305	4.80E-40	128	0.1	DDE domain
DDE_Tnp_IS66	PF03050.14	SAGEDEP_132305	5.30E-12	36.6	3.6	Transposase IS66 family
Phage_integrase	PF00589.22	SAGEDEP_132312	1.50E-19	61.4	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_132315	4.10E-36	115.2	0.1	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_132316	2.90E-15	47.4	0.3	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_132317	2.10E-11	34.9	0.3	Phage integrase family
rve	PF00665.26	SAGEDEP_132318	6.20E-20	62.6	0.3	Integrase core domain
Recombinase	PF07508.13	SAGEDEP_132327	9.20E-17	52.4	0	Recombinase
Recombinase	PF07508.13	SAGEDEP_132329	1.80E-25	80.4	0	Recombinase
Resolvase	PF00239.21	SAGEDEP_132329	2.00E-11	35.2	0	"Resolvase, N terminal domain"
Phage_integrase	PF00589.22	SAGEDEP_132347	3.90E-26	82.8	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_132419	1.80E-13	41.5	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_132439	4.90E-29	92.2	0.5	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_132472	5.40E-32	101.9	0	Phage integrase family
rve	PF00665.26	SAGEDEP_132551	4.40E-21	66.3	0.1	Integrase core domain
DDE_Tnp_ISL3	PF01610.17	SAGEDEP_132590	3.10E-50	162	1	Transposase
rve	PF00665.26	SAGEDEP_132592	3.20E-21	66.7	0	Integrase core domain
Phage_integrase	PF00589.22	SAGEDEP_132680	2.40E-17	54.2	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_132709	2.50E-19	60.6	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_132720	1.20E-12	38.9	2.8	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_132746	4.50E-23	72.8	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_132855	1.90E-19	61	0.3	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_133097	1.20E-17	55.2	0	Phage integrase family
rve	PF00665.26	SAGEDEP_133099	2.10E-23	73.7	1.3	Integrase core domain
Phage_integrase	PF00589.22	SAGEDEP_133100	5.20E-33	105.2	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_133101	4.00E-31	99	0.5	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_133125	6.50E-18	56	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_133132	4.00E-28	89.2	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_133134	1.40E-26	84.3	3.2	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_133186	7.90E-26	81.8	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_133191	1.10E-16	52	0.1	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_133224	3.50E-25	79.7	0.1	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_133226	4.60E-31	98.8	0	Phage integrase family
rve	PF00665.26	SAGEDEP_133239	7.90E-12	36.4	0.1	Integrase core domain
Phage_integr_3	PF16795.5	SAGEDEP_133264	3.90E-13	40.5	0.3	Archaeal phage integrase
Phage_integrase	PF00589.22	SAGEDEP_133275	2.30E-12	38	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_133291	1.30E-19	61.5	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_133317	1.30E-33	107.1	0	Phage integrase family
rve	PF00665.26	SAGEDEP_133442	2.80E-19	60.5	0	Integrase core domain
rve	PF00665.26	SAGEDEP_133443	3.30E-14	44.1	0	Integrase core domain
Phage_integrase	PF00589.22	SAGEDEP_133497	9.50E-15	45.7	0.2	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_133498	9.00E-17	52.3	0	Phage integrase family
Recombinase	PF07508.13	SAGEDEP_133663	1.60E-18	58	0.2	Recombinase
Resolvase	PF00239.21	SAGEDEP_133663	4.00E-11	34.2	3.3	"Resolvase, N terminal domain"
Resolvase	PF00239.21	SAGEDEP_001305	8.80E-26	81.7	3.1	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_001305	6.00E-22	69.1	0	Recombinase
Resolvase	PF00239.21	SAGEDEP_001440	4.40E-11	34	0	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_001441	2.70E-18	57.3	0	Recombinase
Resolvase	PF00239.21	SAGEDEP_001441	6.20E-09	27.1	0	"Resolvase, N terminal domain"
Phage_integrase	PF00589.22	SAGEDEP_001442	2.30E-26	83.5	0	Phage integrase family
Y1_Tnp	PF01797.16	SAGEDEP_001444	3.20E-11	34.4	1	Transposase IS200 like
Phage_integrase	PF00589.22	SAGEDEP_001470	1.10E-19	61.8	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_001574	1.50E-12	38.5	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_001592	1.40E-24	77.7	0	Phage integrase family
DDE_Tnp_1	PF01609.21	SAGEDEP_001690	2.00E-21	67.5	1	Transposase DDE domain
Phage_integrase	PF00589.22	SAGEDEP_001693	3.60E-18	56.9	0.1	Phage integrase family
DDE_Tnp_1	PF01609.21	SAGEDEP_001751	1.20E-08	25.7	0.1	Transposase DDE domain
Recombinase	PF07508.13	SAGEDEP_001771	3.70E-14	44	0	Recombinase
Resolvase	PF00239.21	SAGEDEP_001771	1.90E-09	28.7	0	"Resolvase, N terminal domain"
Phage_integrase	PF00589.22	SAGEDEP_001841	2.40E-21	67.2	0.1	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_001856	2.00E-19	60.9	0	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_001915	2.40E-24	77.1	0	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_001915	1.20E-15	48.8	0	Recombinase
Phage_integrase	PF00589.22	SAGEDEP_001932	2.30E-19	60.8	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_002034	8.20E-19	58.9	0	Phage integrase family
Recombinase	PF07508.13	SAGEDEP_002131	3.70E-14	44	0	Recombinase
Resolvase	PF00239.21	SAGEDEP_002131	7.70E-14	43	0.2	"Resolvase, N terminal domain"
Phage_integrase	PF00589.22	SAGEDEP_002171	4.50E-27	85.8	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_002316	9.60E-24	75	0.1	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_002356	6.10E-13	40.1	0.2	"Resolvase, N terminal domain"
Resolvase	PF00239.21	SAGEDEP_002357	9.20E-37	117.3	0.6	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_002357	1.10E-11	36	0	Recombinase
DDE_Tnp_1	PF01609.21	SAGEDEP_002428	8.30E-15	45.9	0	Transposase DDE domain
Phage_integrase	PF00589.22	SAGEDEP_002484	1.60E-24	77.5	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_002497	1.80E-37	119.7	0.2	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_002526	6.10E-28	88.7	0	Phage integrase family
rve	PF00665.26	SAGEDEP_002533	3.90E-13	40.6	0	Integrase core domain
Phage_integrase	PF00589.22	SAGEDEP_002589	1.40E-23	74.5	0	Phage integrase family
rve	PF00665.26	SAGEDEP_002621	3.00E-24	76.5	0	Integrase core domain
Phage_integrase	PF00589.22	SAGEDEP_002765	3.70E-22	69.8	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_002977	8.80E-15	45.8	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_003053	2.40E-22	70.5	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_003141	2.40E-09	28.2	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_003146	6.30E-30	95.1	0	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_003233	2.50E-20	64	1.7	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_003429	8.00E-13	39.7	0	Recombinase
Phage_integrase	PF00589.22	SAGEDEP_003441	2.10E-22	70.6	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_003543	3.20E-23	73.3	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_003681	2.50E-09	28.1	0	Phage integrase family
rve	PF00665.26	SAGEDEP_003747	6.80E-33	104.4	0.1	Integrase core domain
rve	PF00665.26	SAGEDEP_003749	2.40E-21	67.1	0	Integrase core domain
rve	PF00665.26	SAGEDEP_003750	6.60E-38	120.6	0.8	Integrase core domain
DDE_Tnp_IS240	PF13610.6	SAGEDEP_003750	1.70E-09	29	0.2	DDE domain
Phage_integrase	PF00589.22	SAGEDEP_003778	2.50E-13	41.1	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_003779	2.00E-32	103.3	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_003805	1.60E-30	97.1	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_003806	1.70E-22	70.9	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_003807	6.00E-35	111.5	0.1	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_003866	1.30E-16	51.8	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_003959	2.70E-14	44.2	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_004093	5.40E-13	40	0.6	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_004171	2.00E-31	100	0	"Resolvase, N terminal domain"
rve	PF00665.26	SAGEDEP_004226	6.60E-26	81.8	0.1	Integrase core domain
Phage_integrase	PF00589.22	SAGEDEP_004376	6.20E-34	108.2	0	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_004654	6.30E-29	91.9	0.8	"Resolvase, N terminal domain"
rve	PF00665.26	SAGEDEP_064270	6.00E-15	46.5	0	Integrase core domain
Phage_integrase	PF00589.22	SAGEDEP_064275	6.70E-10	29.9	0	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_064293	8.50E-45	143.4	0.9	"Resolvase, N terminal domain"
Phage_integrase	PF00589.22	SAGEDEP_064375	2.20E-19	60.8	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_064387	5.00E-24	75.9	0.1	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_064388	3.80E-31	99.1	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_064405	2.70E-32	102.8	0	Phage integrase family
rve	PF00665.26	SAGEDEP_064407	7.40E-15	46.2	0	Integrase core domain
rve	PF00665.26	SAGEDEP_064469	1.10E-16	52.1	0	Integrase core domain
rve	PF00665.26	SAGEDEP_064491	1.20E-15	48.7	0	Integrase core domain
rve	PF00665.26	SAGEDEP_064525	5.20E-17	53.1	0	Integrase core domain
Phage_integrase	PF00589.22	SAGEDEP_064578	2.30E-20	64	0	Phage integrase family
rve	PF00665.26	SAGEDEP_064600	2.90E-16	50.7	0	Integrase core domain
Phage_integrase	PF00589.22	SAGEDEP_064631	4.00E-34	108.8	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_064632	1.40E-22	71.2	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_064633	1.30E-30	97.4	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_064634	2.10E-23	73.9	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_064635	3.30E-27	86.3	0.1	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_064636	1.00E-31	101	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_064652	1.50E-29	93.9	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_064711	2.20E-34	109.6	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_064712	1.80E-19	61.1	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_064713	6.50E-26	82.1	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_064730	5.30E-25	79.1	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_064731	4.20E-10	30.6	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_064732	4.70E-10	30.4	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_064733	2.90E-34	109.2	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_064747	7.20E-16	49.4	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_064748	2.00E-09	28.4	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_064819	1.90E-20	64.2	0	Phage integrase family
Recombinase	PF07508.13	SAGEDEP_064828	8.40E-13	39.6	0	Recombinase
Phage_integrase	PF00589.22	SAGEDEP_064829	2.50E-22	70.4	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_064830	7.00E-23	72.2	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_064831	5.30E-35	111.6	0	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_064832	7.20E-13	39.8	0.2	"Resolvase, N terminal domain"
rve	PF00665.26	SAGEDEP_064837	1.20E-13	42.3	0	Integrase core domain
Phage_integrase	PF00589.22	SAGEDEP_064851	2.00E-14	44.6	0	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_064871	1.50E-23	74.5	0.3	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_064871	1.30E-09	29.4	0	Recombinase
Phage_integrase	PF00589.22	SAGEDEP_064902	3.40E-15	47.2	0	Phage integrase family
rve	PF00665.26	SAGEDEP_064943	8.60E-14	42.7	0.3	Integrase core domain
rve	PF00665.26	SAGEDEP_064955	3.20E-15	47.4	0	Integrase core domain
rve	PF00665.26	SAGEDEP_064974	4.50E-13	40.4	0	Integrase core domain
rve	PF00665.26	SAGEDEP_065003	1.70E-14	45	0.2	Integrase core domain
Phage_integrase	PF00589.22	SAGEDEP_065051	6.00E-23	72.4	0	Phage integrase family
rve	PF00665.26	SAGEDEP_065101	1.00E-16	52.2	0	Integrase core domain
Phage_integrase	PF00589.22	SAGEDEP_065137	5.40E-17	53	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_065159	1.90E-13	41.5	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_065244	8.70E-18	55.6	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_065271	3.80E-34	108.9	0.2	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_065272	4.80E-19	59.7	0.1	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_065273	5.00E-21	66.2	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_065274	2.10E-25	80.4	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_065275	4.60E-25	79.3	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_065276	8.70E-36	114.2	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_065280	7.00E-17	52.7	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_065295	9.90E-30	94.5	0.1	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_065357	1.80E-14	44.8	0	Phage integrase family
DDE_Tnp_1	PF01609.21	SAGEDEP_065359	5.60E-09	26.8	0.2	Transposase DDE domain
Recombinase	PF07508.13	SAGEDEP_065371	1.40E-15	48.6	0	Recombinase
Phage_integrase	PF00589.22	SAGEDEP_065374	1.90E-24	77.3	0.1	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_065392	8.90E-12	36.1	0	Phage integrase family
DDE_Tnp_IS240	PF13610.6	SAGEDEP_065407	2.20E-16	51.3	0	DDE domain
rve	PF00665.26	SAGEDEP_065440	6.50E-13	39.9	0	Integrase core domain
rve	PF00665.26	SAGEDEP_065450	1.50E-18	58.1	0.1	Integrase core domain
rve	PF00665.26	SAGEDEP_065454	6.40E-11	33.5	0	Integrase core domain
rve	PF00665.26	SAGEDEP_065460	4.00E-15	47.1	0	Integrase core domain
rve	PF00665.26	SAGEDEP_065519	1.80E-14	44.9	0	Integrase core domain
rve	PF00665.26	SAGEDEP_065535	5.20E-17	53.1	0	Integrase core domain
Resolvase	PF00239.21	SAGEDEP_065548	1.20E-11	35.8	0	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_065549	1.70E-11	35.5	0	Recombinase
Resolvase	PF00239.21	SAGEDEP_065549	3.70E-10	31	0	"Resolvase, N terminal domain"
Phage_integrase	PF00589.22	SAGEDEP_065556	4.90E-27	85.7	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_065563	9.00E-10	29.5	0.6	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_065597	1.40E-30	97.3	0	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_065599	1.90E-34	109.9	1	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_065599	9.70E-19	58.7	0	Recombinase
Phage_integrase	PF00589.22	SAGEDEP_065604	1.70E-13	41.7	1.4	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_065633	1.20E-12	38.9	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_065651	2.10E-24	77.2	0.1	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_065665	1.60E-37	119.8	0.5	Phage integrase family
rve	PF00665.26	SAGEDEP_065676	7.60E-14	42.9	0	Integrase core domain
rve	PF00665.26	SAGEDEP_104875	1.20E-19	61.6	0	Integrase core domain
DDE_Tnp_Tn3	PF01526.17	SAGEDEP_104915	1.10E-113	370.8	0	Tn3 transposase DDE domain
Resolvase	PF00239.21	SAGEDEP_104953	3.30E-30	96.1	1.8	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_104953	1.50E-24	77.4	0	Recombinase
Phage_integrase	PF00589.22	SAGEDEP_105003	1.30E-19	61.5	0	Phage integrase family
Y1_Tnp	PF01797.16	SAGEDEP_105041	1.30E-15	48.5	0.6	Transposase IS200 like
Phage_integrase	PF00589.22	SAGEDEP_105070	8.00E-19	59	0	Phage integrase family
Recombinase	PF07508.13	SAGEDEP_105419	2.50E-17	54.2	0	Recombinase
Phage_integrase	PF00589.22	SAGEDEP_105463	2.30E-09	28.2	2.2	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_105470	2.50E-21	67.1	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_105471	2.80E-36	115.8	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_105473	6.10E-26	82.1	0	Phage integrase family
rve	PF00665.26	SAGEDEP_105586	8.30E-19	58.9	0	Integrase core domain
rve	PF00665.26	SAGEDEP_105756	8.20E-17	52.5	0	Integrase core domain
DDE_Tnp_ISL3	PF01610.17	SAGEDEP_105795	2.20E-14	44.6	0	Transposase
Phage_integrase	PF00589.22	SAGEDEP_105809	1.90E-13	41.5	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_105813	6.00E-29	91.9	0	Phage integrase family
Recombinase	PF07508.13	SAGEDEP_105819	8.10E-10	30.1	0	Recombinase
Phage_integrase	PF00589.22	SAGEDEP_105841	3.70E-20	63.3	0.1	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_105954	4.70E-35	111.8	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_105955	2.80E-20	63.7	0.1	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_105956	1.70E-23	74.2	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_106008	5.30E-24	75.8	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_106042	4.50E-35	111.9	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_106043	4.80E-15	46.7	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_106055	8.00E-18	55.7	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_106062	4.20E-30	95.7	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_106063	5.90E-25	78.9	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_106064	1.40E-37	120	0	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_106123	4.50E-20	63.2	0.8	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_106123	3.20E-13	41	0.4	Recombinase
Resolvase	PF00239.21	SAGEDEP_106126	1.70E-23	74.3	0	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_106126	4.40E-14	43.8	0	Recombinase
Resolvase	PF00239.21	SAGEDEP_106128	1.40E-24	77.8	0	"Resolvase, N terminal domain"
Resolvase	PF00239.21	SAGEDEP_106145	1.30E-30	97.4	2.1	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_106145	8.70E-16	49.3	0	Recombinase
Phage_integrase	PF00589.22	SAGEDEP_106185	8.70E-21	65.4	0	Phage integrase family
Recombinase	PF07508.13	SAGEDEP_106200	3.90E-14	44	0.2	Recombinase
Resolvase	PF00239.21	SAGEDEP_106498	1.30E-32	103.9	0.8	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_106498	2.80E-14	44.4	0	Recombinase
Resolvase	PF00239.21	SAGEDEP_106541	3.10E-31	99.4	0	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_106541	6.80E-08	23.9	0	Recombinase
rve	PF00665.26	SAGEDEP_106543	3.50E-20	63.4	0.2	Integrase core domain
Phage_integrase	PF00589.22	SAGEDEP_106644	7.90E-21	65.5	0	Phage integrase family
rve	PF00665.26	SAGEDEP_106770	6.00E-20	62.6	0	Integrase core domain
Recombinase	PF07508.13	SAGEDEP_106903	2.90E-11	34.7	0	Recombinase
Phage_integrase	PF00589.22	SAGEDEP_106904	9.30E-40	127.1	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_106905	1.60E-22	71.1	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_106906	3.60E-27	86.1	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_106917	6.40E-32	101.6	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_106918	2.50E-23	73.7	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_106919	1.10E-35	113.9	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_106920	2.70E-30	96.3	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_106921	3.30E-30	96	0	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_106923	1.60E-37	119.7	0.2	"Resolvase, N terminal domain"
Phage_integrase	PF00589.22	SAGEDEP_106924	6.90E-20	62.4	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_106926	1.10E-14	45.5	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_106927	1.30E-21	68.1	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_106928	1.20E-16	51.8	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_106936	9.60E-21	65.2	0	Phage integrase family
DDE_Tnp_1_6	PF13751.6	SAGEDEP_106937	3.50E-12	37.6	0.1	Transposase DDE domain
DDE_Tnp_1	PF01609.21	SAGEDEP_106937	2.20E-11	34.7	0.1	Transposase DDE domain
Phage_integrase	PF00589.22	SAGEDEP_107041	5.80E-35	111.5	0.2	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_107043	3.90E-09	27.5	0.8	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_107044	6.10E-12	36.6	2.5	Phage integrase family
DDE_Tnp_1_4	PF13701.6	SAGEDEP_107056	5.00E-31	98.2	0	Transposase DDE domain group 1
DDE_Tnp_1	PF01609.21	SAGEDEP_107056	2.70E-08	24.6	0	Transposase DDE domain
Phage_integrase	PF00589.22	SAGEDEP_107163	1.70E-19	61.2	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_107200	4.30E-22	69.6	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_107223	1.20E-32	103.9	0.7	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_107265	1.20E-33	107.2	0	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_107365	3.00E-19	60.5	0.1	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_107365	5.90E-14	43.4	0	Recombinase
rve	PF00665.26	SAGEDEP_107370	7.30E-23	72	0	Integrase core domain
Phage_integrase	PF00589.22	SAGEDEP_107419	2.90E-21	66.9	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_107868	2.30E-35	112.8	0.3	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_107914	5.20E-33	105.2	0.1	Phage integrase family
rve	PF00665.26	SAGEDEP_125389	8.50E-11	33.1	0	Integrase core domain
DDE_Tnp_IS1595	PF12762.7	SAGEDEP_125465	1.40E-34	110.3	0	ISXO2-like transposase domain
Phage_integrase	PF00589.22	SAGEDEP_125757	6.30E-23	72.3	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_125783	1.80E-28	90.4	0	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_125801	1.80E-34	109.9	0.7	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_125801	2.40E-25	79.9	0.5	Recombinase
Resolvase	PF00239.21	SAGEDEP_125804	5.80E-33	105	0.7	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_125804	6.80E-15	46.4	0	Recombinase
Phage_integrase	PF00589.22	SAGEDEP_125846	6.20E-21	65.9	0.6	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_125869	1.10E-26	84.7	0	"Resolvase, N terminal domain"
Phage_integrase	PF00589.22	SAGEDEP_125935	1.20E-33	107.2	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_125936	8.00E-32	101.3	0	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_125937	6.60E-34	108.1	1	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_125937	6.50E-21	65.7	0	Recombinase
Phage_integrase	PF00589.22	SAGEDEP_125943	2.70E-33	106.1	0.3	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_125947	7.30E-48	153.3	0.2	"Resolvase, N terminal domain"
Phage_integrase	PF00589.22	SAGEDEP_125993	5.50E-14	43.2	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_126027	9.60E-36	114.1	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_126028	1.90E-25	80.5	0	Phage integrase family
Phage_integrase	PF00589.22	SAGEDEP_126029	4.70E-30	95.5	0	Phage integrase family
DDE_Tnp_1_4	PF13701.6	SAGEDEP_126030	1.90E-14	43.6	0	Transposase DDE domain group 1
Phage_integrase	PF00589.22	SAGEDEP_126192	2.30E-19	60.8	0	Phage integrase family
Resolvase	PF00239.21	SAGEDEP_126199	6.60E-40	127.5	0.1	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_126199	1.50E-23	74.2	4.4	Recombinase
Phage_integrase	PF00589.22	SAGEDEP_126208	4.30E-31	98.9	0.1	Phage integrase family
DDE_Tnp_ISAZ013	PF07592.11	SAGEDEP_126454	1.20E-50	163	0	Rhodopirellula transposase DDE domain
Resolvase	PF00239.21	SAGEDEP_126543	2.40E-37	119.2	0.3	"Resolvase, N terminal domain"
Recombinase	PF07508.13	SAGEDEP_126543	2.40E-14	44.6	0	Recombinase
Phage_integrase	PF00589.22	SAGEDEP_126562	1.30E-34	110.4	0	Phage integrase family
DDE_Tnp_IS1	PF03400.13	SAGEDEP_126564	1.20E-19	61.9	0.1	IS1 transposase
