Genome,preVC,VC Status,VC,VC Size,Quality,Adjusted P-value,VC Avg Distance,Topology Confidence Score,Genus Confidence Score
MG945628,preVC_2263,Clustered,VC_2263_0,3,1,1,1.382088123,1,1
MG945629,preVC_2168,Clustered,VC_2168_0,5,0.6417,0.99918945,1.258505748,0.6411,1
MG945630,,Singleton,,,,,,,
MG945631,preVC_2279,Clustered,VC_2279_0,2,1,1,1.414213562,1,1
MG945632,preVC_2168,Clustered,VC_2168_0,5,0.6417,0.99918945,1.258505748,0.6411,1
MG945633,preVC_2168,Clustered,VC_2168_0,5,0.6417,0.99918945,1.258505748,0.6411,1
MG945634,preVC_2139,Clustered,VC_2139_0,39,0.9896,0.98571337,1.962392702,0.9754,1
MG945635,,Overlap (VC_2109/VC_2117),,,,,,,
MG945636,,Singleton,,,,,,,
MG945637,preVC_2252,Clustered,VC_2252_0,3,0.8116,0.92554266,0.942809042,0.7512,1
MG945638,,Singleton,,,,,,,
MG945639,,Overlap (VC_2109/VC_2117),,,,,,,
MG945640,preVC_2239,Clustered,VC_2239_0,14,0.654,1,1.359235801,0.654,1
MG945641,preVC_2139,Clustered,VC_2139_0,39,0.9896,0.98571337,1.962392702,0.9754,1
MG945642,preVC_2180,Clustered,VC_2180_0,13,0.7951,1,1.658289126,0.7951,1
MG945643,preVC_2182,Clustered,VC_2182_0,4,0.5823,0.94751743,1.54875479,0.5517,1
MG945644,preVC_2193,Clustered,VC_2193_0,4,0.2186,0.97974009,2.108946084,0.2142,1
MG945645,preVC_2147,Clustered,VC_2147_0,10,0.7583,1,1.518736737,0.7583,1
MG945646,preVC_2107,Clustered,VC_2107_0,95,0.7972,1,1.777480335,0.7972,1
MG945647,preVC_2139,Clustered,VC_2139_0,39,0.9896,0.98571337,1.962392702,0.9754,1
MG945662,preVC_2183,Clustered,VC_2183_0,6,0.6547,0.99999969,0.333333333,0.6547,1
MG945663,preVC_2213,Clustered,VC_2213_0,56,0.9845,1,1.763423098,0.9845,1
MG945664,preVC_2077,Clustered,VC_2077_0,22,0.954,0.99999985,1.562730605,0.954,1
MG945665,preVC_2244,Clustered,VC_2244_0,7,1,1,0.908146086,1,1
MG945666,,Outlier,,,,,,,
MG945667,preVC_2120,Clustered,VC_2120_0,2,0.6506,0.72985431,0,0.4749,1
MG945668,,Outlier,,,,,,,
MG945669,,Overlap (VC_2159/VC_2202),,,,,,,
MG945670,preVC_2121,Clustered,VC_2121_0,30,0.6248,1,1.242822303,0.6248,1
MG945671,preVC_2107,Clustered,VC_2107_0,95,0.7972,1,1.777480335,0.7972,1
MG945672,,Overlap (VC_2109/VC_2117),,,,,,,
MG945673,preVC_2107,Clustered,VC_2107_0,95,0.7972,1,1.777480335,0.7972,1
MG945674,preVC_2107,Clustered,VC_2107_0,95,0.7972,1,1.777480335,0.7972,1
MG945675,,Outlier,,,,,,,
MG945676,preVC_2207,Clustered,VC_2207_0,13,0.9487,1,1.132514118,0.9487,1
MG945677,preVC_2272,Clustered,VC_2272_0,2,0.5,0,2,0,1
MG945678,,Singleton,,,,,,,
MG945679,preVC_2153,Clustered,VC_2153_0,3,0.2584,0.98907073,1.626105059,0.2556,1
MG945680,preVC_2077,Clustered,VC_2077_0,22,0.954,0.99999985,1.562730605,0.954,1
MG945681,preVC_2107,Clustered,VC_2107_0,95,0.7972,1,1.777480335,0.7972,1
MG945682,preVC_2201,Clustered,VC_2201_0,49,0.58,1,1.377556435,0.58,1
MG945683,preVC_2077,Clustered,VC_2077_0,22,0.954,0.99999985,1.562730605,0.954,1
MG945684,preVC_2276,Clustered/Singleton,VC_2276_0,1,0,1,0,0,1
MG945685,preVC_2171,Clustered,VC_2171_0,15,0.9099,1,2.134916383,0.9099,1
MG945686,preVC_2145,Clustered,VC_2145_0,11,1,1,0.586229831,1,1
MG945687,preVC_2191,Clustered,VC_2191_0,8,0.8508,1,0.63672954,0.8508,1
MG945688,,Outlier,,,,,,,
MG945689,preVC_2209,Clustered,VC_2209_0,8,0.9469,0.99997683,1.884156242,0.9469,1
MG945690,preVC_2259,Clustered,VC_2259_0,2,0.0783,0.67389491,1,0.0528,1
MG945691,preVC_2107,Clustered,VC_2107_0,95,0.7972,1,1.777480335,0.7972,1
MG945692,preVC_2148,Clustered,VC_2148_0,7,0.9101,0.99998959,0.543533979,0.9101,1
MG945693,preVC_2185,Clustered,VC_2185_0,3,0.9257,0.95220965,1.609475708,0.8815,1
MG945694,preVC_2180,Clustered,VC_2180_0,13,0.7951,1,1.658289126,0.7951,1
MG945695,,Singleton,,,,,,,
MG945696,preVC_2256,Clustered,VC_2256_0,7,1,1,0.812907991,1,1
MG945697,preVC_2148,Clustered,VC_2148_0,7,0.9101,0.99998959,0.543533979,0.9101,1
MG945698,preVC_2148,Clustered,VC_2148_0,7,0.9101,0.99998959,0.543533979,0.9101,1
MG945699,preVC_2107,Clustered,VC_2107_0,95,0.7972,1,1.777480335,0.7972,1
MG945700,preVC_2110,Clustered,VC_2110_0,3,0.3691,0.99638566,0,0.3678,1
MG945701,,Overlap (VC_2168/VC_2175),,,,,,,
MG945702,preVC_2250,Clustered,VC_2250_0,3,1,1,0.942809042,1,1
MG945703,preVC_2174,Clustered,VC_2174_0,7,0.3141,0.87616001,1.995307676,0.2752,1
MG945704,preVC_2188,Clustered/Singleton,VC_2188_0,1,0,1,0,0,1
MG945705,preVC_2107,Clustered,VC_2107_0,95,0.7972,1,1.777480335,0.7972,1
MG945706,preVC_2207,Clustered,VC_2207_0,13,0.9487,1,1.132514118,0.9487,1
MG945707,,Outlier,,,,,,,
MG945708,preVC_2107,Clustered,VC_2107_0,95,0.7972,1,1.777480335,0.7972,1
MG945709,,Singleton,,,,,,,
MG945710,preVC_2107,Clustered,VC_2107_0,95,0.7972,1,1.777480335,0.7972,1
MG945711,,Overlap (VC_2175/VC_2177),,,,,,,
MG945712,preVC_2239,Clustered,VC_2239_0,14,0.654,1,1.359235801,0.654,1
MG945713,preVC_2077,Clustered,VC_2077_0,22,0.954,0.99999985,1.562730605,0.954,1
MG945714,,Singleton,,,,,,,
MG945715,,Outlier,,,,,,,
MG945716,preVC_2077,Clustered,VC_2077_0,22,0.954,0.99999985,1.562730605,0.954,1
MG945717,preVC_2189,Clustered,VC_2189_0,5,0.7316,0.99737095,0.6,0.7297,1
MG945718,preVC_2112,Clustered,VC_2112_0,11,0.7574,0.99999999,1.989678023,0.7574,1
MG945719,preVC_2143,Clustered,VC_2143_0,7,0.8495,1,0.824462309,0.8495,1
MG945720,preVC_2281,Clustered,VC_2281_0,2,0.6789,0.5,2,0.3394,1
MG945721,preVC_2240,Clustered,VC_2240_0,3,1,1,1.745355992,1,1
MG945722,,Outlier,,,,,,,
MG945723,preVC_2172,Clustered,VC_2172_0,3,0.328,0.99790393,1.414213562,0.3273,1
MG945724,preVC_2292,Clustered,VC_2292_0,4,1,1,0.5,1,1
MG945725,preVC_2126,Clustered,VC_2126_0,16,0.9046,1,1.403640257,0.9046,1
MG945726,preVC_2222,Clustered,VC_2222_0,5,0.8854,0.99908616,0.6,0.8846,1
MG945727,preVC_2217,Clustered,VC_2217_0,4,0.7093,0.99971165,0,0.7091,1
MG945728,preVC_2107,Clustered,VC_2107_0,95,0.7972,1,1.777480335,0.7972,1
MG945729,preVC_2244,Clustered,VC_2244_0,7,1,1,0.908146086,1,1
MG945730,preVC_2077,Clustered,VC_2077_0,22,0.954,0.99999985,1.562730605,0.954,1
MG945731,preVC_2107,Clustered,VC_2107_0,95,0.7972,1,1.777480335,0.7972,1
MG945732,,Overlap (VC_2179/VC_2180),,,,,,,
MG945733,preVC_2239,Clustered,VC_2239_0,14,0.654,1,1.359235801,0.654,1
MG945734,preVC_2148,Clustered,VC_2148_0,7,0.9101,0.99998959,0.543533979,0.9101,1
MG945735,preVC_2195,Clustered,VC_2195_0,3,0.5712,0.99480817,1.138071187,0.5683,1
MG945736,preVC_2147,Clustered,VC_2147_0,10,0.7583,1,1.518736737,0.7583,1
MG945737,,Outlier,,,,,,,
MG945738,preVC_2152,Clustered,VC_2152_0,4,0.1043,0.76636956,2.374339275,0.0799,1
MG945739,preVC_2189,Clustered,VC_2189_0,5,0.7316,0.99737095,0.6,0.7297,1
MG945740,preVC_2147,Clustered,VC_2147_0,10,0.7583,1,1.518736737,0.7583,1
MG945741,preVC_2286,Clustered,VC_2286_0,2,1,1,1.732050808,1,1
MG945742,,Overlap (VC_2110/VC_2147),,,,,,,
MG945743,preVC_2139,Clustered,VC_2139_0,39,0.9896,0.98571337,1.962392702,0.9754,1
MG945744,preVC_2107,Clustered,VC_2107_0,95,0.7972,1,1.777480335,0.7972,1
MG945745,preVC_2171,Clustered,VC_2171_0,15,0.9099,1,2.134916383,0.9099,1
MG945746,preVC_2108,Clustered,VC_2108_0,8,0.5071,1,0.722951453,0.5071,1
MG945747,preVC_2261,Clustered,VC_2261_0,3,1,1,0,1,1
MG945748,preVC_2198,Clustered,VC_2198_0,3,0.3657,0.99722618,1.138071187,0.3647,1
MG945749,,Overlap (VC_2116/VC_2117),,,,,,,
MG945750,preVC_2218,Clustered,VC_2218_0,7,1,1,0.808122036,1,1
MG945751,preVC_2236,Clustered,VC_2236_0,7,0.8524,0.99999965,0.908146086,0.8524,1
MG945752,preVC_2195,Clustered,VC_2195_0,3,0.5712,0.99480817,1.138071187,0.5683,1
MG945753,preVC_2180,Clustered,VC_2180_0,13,0.7951,1,1.658289126,0.7951,1
MG945754,preVC_2222,Clustered,VC_2222_0,5,0.8854,0.99908616,0.6,0.8846,1
MG945755,preVC_2251,Clustered,VC_2251_0,4,0.7866,0.99289298,1.451123717,0.781,1
MG945756,preVC_2145,Clustered,VC_2145_0,11,1,1,0.586229831,1,1
MG945757,preVC_2126,Clustered,VC_2126_0,16,0.9046,1,1.403640257,0.9046,1
MG945758,preVC_2107,Clustered,VC_2107_0,95,0.7972,1,1.777480335,0.7972,1
MG945759,preVC_2144,Clustered,VC_2144_0,4,0.6136,0.99997961,0.666666667,0.6136,1
MG945760,preVC_2144,Clustered,VC_2144_0,4,0.6136,0.99997961,0.666666667,0.6136,1
MG945761,,Outlier,,,,,,,
MG945762,,Singleton,,,,,,,
MG945763,,Singleton,,,,,,,
MG945764,preVC_2207,Clustered,VC_2207_0,13,0.9487,1,1.132514118,0.9487,1
MG945765,preVC_2107,Clustered,VC_2107_0,95,0.7972,1,1.777480335,0.7972,1
MG945766,preVC_2293,Clustered,VC_2293_0,2,1,1,2,1,1
MG945767,,Overlap (VC_2109/VC_2117),,,,,,,
MG945768,preVC_2107,Clustered,VC_2107_0,95,0.7972,1,1.777480335,0.7972,1
MG945769,preVC_2294,Clustered,VC_2294_0,2,1,1,0,1,1
MG945770,preVC_2107,Clustered,VC_2107_0,95,0.7972,1,1.777480335,0.7972,1
MG945771,preVC_2147,Clustered,VC_2147_0,10,0.7583,1,1.518736737,0.7583,1
MG945772,,Singleton,,,,,,,
MG945773,,Singleton,,,,,,,
MG945774,preVC_2171,Clustered,VC_2171_0,15,0.9099,1,2.134916383,0.9099,1
MG945775,preVC_2109,Clustered,VC_2109_0,3,0.0451,0.99870108,1.794110782,0.045,1
MG945776,preVC_2218,Clustered,VC_2218_0,7,1,1,0.808122036,1,1
MG945777,,Overlap (VC_2176/VC_2193),,,,,,,
MG945778,preVC_2245,Clustered,VC_2245_0,3,1,1,1.154700538,1,1
MG945779,,Singleton,,,,,,,
MG945780,preVC_2181,Clustered,VC_2181_0,5,0.2572,0.99998721,2.088261254,0.2572,1
MG945781,preVC_2180,Clustered,VC_2180_0,13,0.7951,1,1.658289126,0.7951,1
MG945782,preVC_2244,Clustered,VC_2244_0,7,1,1,0.908146086,1,1
MG945783,preVC_2112,Clustered,VC_2112_0,11,0.7574,0.99999999,1.989678023,0.7574,1
MG945784,preVC_2077,Clustered,VC_2077_0,22,0.954,0.99999985,1.562730605,0.954,1
MG945785,preVC_2217,Clustered,VC_2217_0,4,0.7093,0.99971165,0,0.7091,1
MG945786,preVC_2107,Clustered,VC_2107_0,95,0.7972,1,1.777480335,0.7972,1
MG945787,preVC_2107,Clustered,VC_2107_0,95,0.7972,1,1.777480335,0.7972,1
MG945788,preVC_2295,Clustered,VC_2295_0,2,1,1,0,1,1
MG945789,preVC_2233,Clustered,VC_2233_0,3,0.4008,0.99705286,1.138071187,0.3996,1
MG945790,preVC_2077,Clustered,VC_2077_0,22,0.954,0.99999985,1.562730605,0.954,1
MG945791,preVC_2218,Clustered,VC_2218_0,7,1,1,0.808122036,1,1
MG945792,preVC_2294,Clustered,VC_2294_0,2,1,1,0,1,1
MG945793,preVC_2107,Clustered,VC_2107_0,95,0.7972,1,1.777480335,0.7972,1
MG945794,preVC_2127,Clustered,VC_2127_0,8,0.6254,0.99994762,1.629010995,0.6254,1
MG945795,preVC_2295,Clustered,VC_2295_0,2,1,1,0,1,1
MG945796,preVC_2107,Clustered,VC_2107_0,95,0.7972,1,1.777480335,0.7972,1
MG945797,preVC_2209,Clustered,VC_2209_0,8,0.9469,0.99997683,1.884156242,0.9469,1
MG945798,preVC_2296,Clustered,VC_2296_0,4,1,1,0.707106781,1,1
MG945799,preVC_2198,Clustered,VC_2198_0,3,0.3657,0.99722618,1.138071187,0.3647,1
MG945800,preVC_2198,Clustered,VC_2198_0,3,0.3657,0.99722618,1.138071187,0.3647,1
MG945801,preVC_2107,Clustered,VC_2107_0,95,0.7972,1,1.777480335,0.7972,1
MG945802,preVC_2107,Clustered,VC_2107_0,95,0.7972,1,1.777480335,0.7972,1
MG945803,preVC_2171,Clustered,VC_2171_0,15,0.9099,1,2.134916383,0.9099,1
MG945804,preVC_2184,Clustered,VC_2184_0,3,0.242,0.85925819,1.138071187,0.2079,1
MG945805,preVC_2143,Clustered,VC_2143_0,7,0.8495,1,0.824462309,0.8495,1
MG945806,preVC_2239,Clustered,VC_2239_0,14,0.654,1,1.359235801,0.654,1
MG945807,preVC_2190,Clustered,VC_2190_0,4,0.5618,0.99986259,0.5,0.5617,1
MG945808,preVC_2297,Clustered,VC_2297_0,2,1,1,0,1,1
MG945809,preVC_2185,Clustered,VC_2185_0,3,0.9257,0.95220965,1.609475708,0.8815,1
MG945810,preVC_2217,Clustered,VC_2217_0,4,0.7093,0.99971165,0,0.7091,1
MG945811,preVC_2144,Clustered,VC_2144_0,4,0.6136,0.99997961,0.666666667,0.6136,1
MG945812,preVC_2236,Clustered,VC_2236_0,7,0.8524,0.99999965,0.908146086,0.8524,1
MG945813,preVC_2077,Clustered,VC_2077_0,22,0.954,0.99999985,1.562730605,0.954,1
MG945814,,Outlier,,,,,,,
MG945815,preVC_2183,Clustered,VC_2183_0,6,0.6547,0.99999969,0.333333333,0.6547,1
MG945816,preVC_2222,Clustered,VC_2222_0,5,0.8854,0.99908616,0.6,0.8846,1
MG945817,preVC_2207,Clustered,VC_2207_0,13,0.9487,1,1.132514118,0.9487,1
MG945818,preVC_2249,Clustered,VC_2249_0,2,1,1,1.732050808,1,1
MG945819,preVC_2147,Clustered,VC_2147_0,10,0.7583,1,1.518736737,0.7583,1
MG945820,preVC_2107,Clustered,VC_2107_0,95,0.7972,1,1.777480335,0.7972,1
MG945821,preVC_2205,Clustered,VC_2205_0,37,0.9635,0.93398081,0.804830991,0.8999,1
MG945822,preVC_2226,Clustered,VC_2226_0,6,0.7406,0.9999804,0.816176046,0.7406,1
MG945823,preVC_2293,Clustered,VC_2293_0,2,1,1,2,1,1
MG945824,preVC_2266,Clustered,VC_2266_0,5,0.7711,0.66985041,0.882842712,0.5165,1
MG945825,preVC_2236,Clustered,VC_2236_0,7,0.8524,0.99999965,0.908146086,0.8524,1
MG945826,preVC_2187,Clustered,VC_2187_0,13,0.577,0.99866105,1.211739851,0.5762,1
MG945827,preVC_2224,Clustered,VC_2224_0,3,0.6382,0.99544257,0,0.6353,1
MG945828,preVC_2258,Clustered,VC_2258_0,2,0.6688,0.72985431,1,0.4881,1
MG945829,preVC_2171,Clustered,VC_2171_0,15,0.9099,1,2.134916383,0.9099,1
MG945830,preVC_2179,Clustered,VC_2179_0,4,0.2503,0.99828153,1.578689326,0.2499,1
MG945831,preVC_2298,Clustered,VC_2298_0,7,1,1,1.017314122,1,1
MG945832,preVC_2299,Clustered,VC_2299_0,4,1,1,1.479719196,1,1
MG945833,,Singleton,,,,,,,
MG945834,preVC_2160,Clustered,VC_2160_0,8,0.6532,0.99604435,1.175077349,0.6506,1
MG945835,preVC_2248,Clustered,VC_2248_0,3,0.3947,0.9839946,1.804737854,0.3884,1
MG945836,preVC_2121,Clustered,VC_2121_0,30,0.6248,1,1.242822303,0.6248,1
MG945837,preVC_2201,Clustered,VC_2201_0,49,0.58,1,1.377556435,0.58,1
MG945838,preVC_2213,Clustered,VC_2213_0,56,0.9845,1,1.763423098,0.9845,1
MG945839,preVC_2300,Clustered,VC_2300_0,4,1,1,0,1,1
MG945840,preVC_2121,Clustered,VC_2121_0,30,0.6248,1,1.242822303,0.6248,1
MG945841,,Singleton,,,,,,,
MG945842,preVC_2301,Clustered,VC_2301_0,7,0.912,0.99407044,1.516149157,0.9066,1
MG945843,preVC_2213,Clustered,VC_2213_0,56,0.9845,1,1.763423098,0.9845,1
MG945844,,Singleton,,,,,,,
MG945845,preVC_2077,Clustered,VC_2077_0,22,0.954,0.99999985,1.562730605,0.954,1
MG945846,preVC_2121,Clustered,VC_2121_0,30,0.6248,1,1.242822303,0.6248,1
MG945847,,Outlier,,,,,,,
MG945848,preVC_2212,Clustered,VC_2212_0,5,1,1,1.292820323,1,1
MG945849,preVC_2297,Clustered,VC_2297_0,2,1,1,0,1,1
MG945850,preVC_2302,Clustered,VC_2302_0,5,1,1,1.589949494,1,1
MG945851,,Singleton,,,,,,,
MG945852,preVC_2212,Clustered,VC_2212_0,5,1,1,1.292820323,1,1
MG945853,preVC_2107,Clustered,VC_2107_0,95,0.7972,1,1.777480335,0.7972,1
MG945854,,Overlap (VC_2122/VC_2123/VC_2126),,,,,,,
MG945855,preVC_2107,Clustered,VC_2107_0,95,0.7972,1,1.777480335,0.7972,1
MG945856,,Outlier,,,,,,,
MG945857,preVC_2304,Clustered,VC_2304_0,3,1,1,1.794110782,1,1
MG945858,,Overlap (VC_2109/VC_2117),,,,,,,
MG945859,preVC_2304,Clustered,VC_2304_0,3,1,1,1.794110782,1,1
MG945860,preVC_2186,Clustered,VC_2186_0,2,0.3771,0.76024994,3,0.2867,1
MG945861,,Overlap (VC_2122/VC_2125/VC_2126),,,,,,,
MG945862,preVC_2107,Clustered,VC_2107_0,95,0.7972,1,1.777480335,0.7972,1
MG945863,,Overlap (VC_2122/VC_2123/VC_2126),,,,,,,
MG945864,preVC_2107,Clustered,VC_2107_0,95,0.7972,1,1.777480335,0.7972,1
MG945865,,Singleton,,,,,,,
MG945866,preVC_2304,Clustered,VC_2304_0,3,1,1,1.794110782,1,1
MG945867,preVC_2114,Clustered,VC_2114_0,7,0.5599,1,2.102197351,0.5599,1
MG945868,,Singleton,,,,,,,
MG945869,preVC_2107,Clustered,VC_2107_0,95,0.7972,1,1.777480335,0.7972,1
MG945870,preVC_2209,Clustered,VC_2209_0,8,0.9469,0.99997683,1.884156242,0.9469,1
MG945909,preVC_2184,Clustered,VC_2184_0,3,0.242,0.85925819,1.138071187,0.2079,1
MG948468,preVC_1943,Clustered/Singleton,VC_1943_0,1,0,1,0,0,1
MG962360,preVC_2136,Clustered,VC_2136_0,75,0.7687,1,6.228774074,0.7687,0.9989
MG962361,preVC_153,Clustered/Singleton,VC_153_67,1,0,1,0,0,1
MG962362,preVC_106,Clustered,VC_106_20,26,0.0952,1,8.229647356,0.0952,0.8308
MG962363,preVC_106,Clustered,VC_106_16,30,0.1684,1,7.74946127,0.1684,0.8759
MG962364,preVC_34,Clustered,VC_34_0,66,0.8149,1,5.463644873,0.8149,0.9841
MG962365,preVC_106,Clustered,VC_106_5,61,0.2105,1,8.626810116,0.2105,0.6607
MG962366,,Overlap (VC_178/VC_180/VC_181/VC_182),,,,,,,
MG962367,preVC_2136,Clustered,VC_2136_0,75,0.7687,1,6.228774074,0.7687,0.9989
MG962368,preVC_1280,Clustered,VC_1280_0,24,0.9648,1,5.49291902,0.9648,1
MG962369,preVC_1280,Clustered,VC_1280_0,24,0.9648,1,5.49291902,0.9648,1
MG962370,preVC_90,Clustered,VC_90_8,2,0.0048,0.95743099,8.366600265,0.0046,1
MG962371,preVC_34,Clustered,VC_34_0,66,0.8149,1,5.463644873,0.8149,0.9841
MG962372,preVC_90,Clustered,VC_90_44,11,0.0506,1,8.479318724,0.0506,0.7273
MG962373,preVC_1866,Clustered,VC_1866_0,99,0.7752,1,5.955679154,0.7752,0.9998
MG962374,preVC_37,Clustered,VC_37_0,17,0.6116,1,4.949499135,0.6116,1
MG962375,preVC_106,Clustered,VC_106_3,8,0.0248,1,7.751124686,0.0248,0.9286
MG962376,preVC_1839,Clustered,VC_1839_0,6,0.4606,1,3.948018565,0.4606,1
MG967616,preVC_2305,Clustered,VC_2305_0,6,0.9135,0.99998512,6.725922808,0.9135,1
MG967617,preVC_2305,Clustered,VC_2305_0,6,0.9135,0.99998512,6.725922808,0.9135,1
MG967618,preVC_2305,Clustered,VC_2305_0,6,0.9135,0.99998512,6.725922808,0.9135,1
MG983742,preVC_1915,Clustered,VC_1915_0,13,0.6084,1,5.51030122,0.6084,1
MG983743,preVC_1853,Clustered,VC_1853_2,8,0.1572,1,7.399278244,0.1572,0.7857
MH000606,preVC_90,Clustered,VC_90_14,6,0.0286,1,7.353751998,0.0286,0.8
MH000607,preVC_159,Clustered,VC_159_6,26,0.1595,1,7.718989113,0.1595,0.9138
MH001446,preVC_174,Clustered,VC_174_0,6,0.4005,1,3.173371488,0.4005,1
MH001447,preVC_1840,Clustered,VC_1840_0,8,0.6343,1,2.697423168,0.6343,1
MH001448,preVC_153,Clustered,VC_153_64,5,0.0467,0.99999997,5.04516783,0.0467,1
MH001449,,Outlier,,,,,,,
MH001450,preVC_174,Clustered,VC_174_0,6,0.4005,1,3.173371488,0.4005,1
MH001451,preVC_1937,Clustered,VC_1937_0,7,0.9551,1,2.953858029,0.9551,1
MH001452,preVC_173,Clustered,VC_173_0,30,0.9225,1,1.070945327,0.9225,1
MH001453,preVC_34,Clustered,VC_34_0,66,0.8149,1,5.463644873,0.8149,0.9841
MH001454,preVC_19,Clustered,VC_19_0,17,0.8738,1,4.193231685,0.8738,1
MH001455,preVC_1836,Clustered,VC_1836_0,49,0.8781,1,1.989448097,0.8781,1
MH001456,preVC_1836,Clustered,VC_1836_0,49,0.8781,1,1.989448097,0.8781,1
MH001457,preVC_1902,Clustered,VC_1902_0,3,0.3381,0.99780848,4.371625683,0.3373,1
MH001458,preVC_90,Clustered/Singleton,VC_90_40,1,0,1,0,0,1
MH001459,preVC_162,Clustered,VC_162_0,15,0.3038,1,4.485706676,0.3038,1
MH001460,preVC_1899,Clustered,VC_1899_0,26,0.7532,1,5.898339702,0.7532,1
MH015249,preVC_337,Clustered,VC_337_0,4,0.5982,0.99997692,2.061552813,0.5982,1
MH015250,preVC_1855,Clustered,VC_1855_0,6,0.7954,1,3.671848151,0.7954,1
MH015251,,Singleton,,,,,,,
MH015252,preVC_337,Clustered,VC_337_0,4,0.5982,0.99997692,2.061552813,0.5982,1
MH015253,preVC_1855,Clustered,VC_1855_0,6,0.7954,1,3.671848151,0.7954,1
MH015254,preVC_337,Clustered,VC_337_0,4,0.5982,0.99997692,2.061552813,0.5982,1
MH015255,preVC_2308,Clustered/Singleton,VC_2308_1,1,0,1,0,0,1
MH015256,preVC_1855,Clustered,VC_1855_0,6,0.7954,1,3.671848151,0.7954,1
MH015257,preVC_1855,Clustered,VC_1855_0,6,0.7954,1,3.671848151,0.7954,1
MH015258,preVC_337,Clustered,VC_337_0,4,0.5982,0.99997692,2.061552813,0.5982,1
MH015259,preVC_1855,Clustered,VC_1855_0,6,0.7954,1,3.671848151,0.7954,1
MH019215,preVC_1993,Clustered,VC_1993_0,9,0.9579,1,4.568576216,0.9579,1
MH019216,preVC_1993,Clustered,VC_1993_0,9,0.9579,1,4.568576216,0.9579,1
MH020235,preVC_153,Clustered,VC_153_12,8,0.0626,1,8.260426026,0.0626,0.9643
MH020236,preVC_90,Clustered,VC_90_19,9,0.0329,1,8.491705381,0.0329,0.8333
MH020237,preVC_12,Clustered,VC_12_2,3,0.0364,0.99859192,6.252502283,0.0364,1
MH020238,preVC_160,Clustered,VC_160_0,74,0.943,1,5.364094199,0.943,1
MH020239,preVC_1893,Clustered,VC_1893_0,31,0.7893,1,4.741018153,0.7893,1
MH020240,preVC_21,Clustered,VC_21_0,36,0.9196,1,4.576017294,0.9196,1
MH020241,preVC_1988,Clustered,VC_1988_0,37,0.923,1,6.82593214,0.923,0.997
MH020242,,Overlap (VC_154/VC_156),,,,,,,
MH020243,,Overlap (VC_154/VC_156),,,,,,,
MH020244,preVC_90,Clustered,VC_90_35,15,0.0694,1,8.222050607,0.0694,0.7619
MH020245,preVC_36,Clustered,VC_36_0,10,0.1036,1,5.456082037,0.1036,1
MH020246,preVC_176,Clustered,VC_176_0,20,0.9894,1,3.683169844,0.9894,1
MH020247,preVC_159,Clustered,VC_159_7,19,0.1088,1,7.327081374,0.1088,0.9123
MH020248,preVC_161,Clustered,VC_161_0,28,0.6612,1,4.386201018,0.6612,1
MH020249,preVC_1866,Clustered,VC_1866_0,99,0.7752,1,5.955679154,0.7752,0.9998
MH025888,preVC_489,Clustered,VC_489_0,20,0.817,1,2.332027872,0.817,1
MH025889,preVC_1821,Clustered,VC_1821_0,37,0.8158,1,5.707758752,0.8158,1
MH025890,preVC_491,Clustered,VC_491_0,8,0.5394,1,3.268542788,0.5394,1
MH031343,preVC_2031,Clustered,VC_2031_0,33,0.7431,1,4.485532663,0.7431,1
MH045554,preVC_2136,Clustered,VC_2136_0,75,0.7687,1,6.228774074,0.7687,0.9989
MH045555,,Overlap (VC_2137/VC_2138),,,,,,,
MH045556,preVC_2309,Clustered,VC_2309_0,65,1,1,3.064246085,1,1
MH045557,preVC_2309,Clustered,VC_2309_0,65,1,1,3.064246085,1,1
MH045558,preVC_2136,Clustered,VC_2136_0,75,0.7687,1,6.228774074,0.7687,0.9989
MH045559,,Overlap (VC_2137/VC_2138),,,,,,,
MH045560,preVC_2136,Clustered,VC_2136_0,75,0.7687,1,6.228774074,0.7687,0.9989
MH045561,preVC_2309,Clustered,VC_2309_0,65,1,1,3.064246085,1,1
MH045562,preVC_2136,Clustered,VC_2136_0,75,0.7687,1,6.228774074,0.7687,0.9989
MH045563,preVC_2136,Clustered,VC_2136_0,75,0.7687,1,6.228774074,0.7687,0.9989
MH045564,preVC_2136,Clustered,VC_2136_0,75,0.7687,1,6.228774074,0.7687,0.9989
MH045565,preVC_2136,Clustered,VC_2136_0,75,0.7687,1,6.228774074,0.7687,0.9989
MH045566,preVC_2128,Clustered,VC_2128_0,37,1,1,5.750547013,1,1
MH045567,preVC_2128,Clustered,VC_2128_0,37,1,1,5.750547013,1,1
MH045568,preVC_2128,Clustered,VC_2128_0,37,1,1,5.750547013,1,1
MH045569,preVC_1836,Clustered,VC_1836_0,49,0.8781,1,1.989448097,0.8781,1
MH047631,,Outlier,,,,,,,
MH047632,preVC_161,Clustered,VC_161_0,28,0.6612,1,4.386201018,0.6612,1
MH047633,preVC_161,Clustered,VC_161_0,28,0.6612,1,4.386201018,0.6612,1
MH051246,preVC_34,Clustered,VC_34_0,66,0.8149,1,5.463644873,0.8149,0.9841
MH051247,preVC_1866,Clustered,VC_1866_0,99,0.7752,1,5.955679154,0.7752,0.9998
MH051248,preVC_153,Clustered,VC_153_22,6,0.0724,1,4.969825492,0.0724,1
MH051249,preVC_173,Clustered,VC_173_0,30,0.9225,1,1.070945327,0.9225,1
